Id,SalePrice,,Id,SalePrice,,Id,SalePrice,,DIFF bw 1 and 2,,DIFF bw 1 and 3
1461,126513.8329,,1461,137171.5159,,1461,122431.0686,,10657.68301,,4082.76429
1462,172949.4896,,1462,158608.7873,,1462,166063.1724,,14340.70229,,6886.317191
1463,186227.4619,,1463,183379.8918,,1463,187710.0881,,2847.570088,,1482.62627
1464,193728.8113,,1464,186943.0718,,1464,194689.36,,6785.739549,,960.5486354
1465,170533.2043,,1465,219676.979,,1465,179446.2916,,49143.77467,,8913.087286
1466,172939.4153,,1466,173447.8383,,1466,164614.7929,,508.4229507,,8324.622437
1467,179636.7822,,1467,206949.1074,,1467,166039.0059,,27312.32525,,13597.77625
1468,166509.4654,,1468,202806.2573,,1468,167324.1288,,36296.79188,,814.6634034
1469,186503.7625,,1469,177015.65,,1469,185245.2411,,9488.112532,,1258.521473
1470,129613.1866,,1470,128979.3439,,1470,129003.3964,,633.8427623,,609.790223
1471,208014.7546,,1471,180195.7661,,1471,214141.7838,,27818.98853,,6127.029219
1472,87655.9932,,1472,131425.0713,,1472,100608.8636,,43769.07807,,12952.87039
1473,99063.85374,,1473,106516.0723,,1473,99736.33547,,7452.21859,,672.4817258
1474,147012.3388,,1474,157771.3572,,1474,152516.8745,,10759.01835,,5504.535675
1475,121405.1848,,1475,141582.4747,,1475,114881.6664,,20177.28991,,6523.518433
1476,380141.515,,1476,276061.4385,,1476,389706.3561,,104080.0765,,9564.841069
1477,254653.231,,1477,216495.9869,,1477,247027.8637,,38157.24408,,7625.36728
1478,284003.806,,1478,227428.7903,,1478,276535.8789,,56575.01571,,7467.927111
1479,266982.6311,,1479,237424.9476,,1479,274362.9763,,29557.68349,,7380.345226
1480,502973.9227,,1480,300684.8732,,1480,510745.207,,202289.0495,,7771.284305
1481,324084.4823,,1481,285899.5578,,1481,304520.834,,38184.92452,,19563.64832
1482,204234.3105,,1482,178368.7481,,1482,203482.6648,,25865.56237,,751.6456944
1483,169964.7296,,1483,195655.568,,1483,171272.0205,,25690.83841,,1307.290909
1484,163506.448,,1484,168986.7833,,1484,168033.2381,,5480.335375,,4526.790142
1485,187275.3363,,1485,191565.7473,,1485,184495.844,,4290.410917,,2779.4923
1486,192192.5427,,1486,210590.0717,,1486,194022.8732,,18397.52898,,1830.330515
1487,338493.2004,,1487,234048.4402,,1487,315104.9461,,104444.7602,,23388.25431
1488,245806.2733,,1488,246764.8732,,1488,229343.9131,,958.5999521,,16462.36022
1489,193449.9329,,1489,246463.4013,,1489,194731.3177,,53013.46839,,1281.384854
1490,237390.6328,,1490,172384.5385,,1490,227893.3514,,65006.09434,,9497.281358
1491,190392.1389,,1491,179027.6545,,1491,189081.1447,,11364.48444,,1310.994183
1492,100443.9287,,1492,104344.0097,,1492,96251.2822,,3900.081079,,4192.646466
1493,170918.4373,,1493,161872.5019,,1493,183712.5398,,9045.935438,,12794.1025
1494,308495.7181,,1494,264426.2922,,1494,292508.2789,,44069.42588,,15987.43914
1495,305348.7169,,1495,245342.8575,,1495,283405.6441,,60005.85932,,21943.07278
1496,250621.9526,,1496,256268.5803,,1496,247668.3792,,5646.627667,,2953.573464
1497,183373.7929,,1497,164707.0584,,1497,168772.9725,,18666.73454,,14600.82044
1498,167874.1698,,1498,189984.9184,,1498,168915.4471,,22110.74857,,1041.277309
1499,163795.7713,,1499,161561.3342,,1499,165723.2895,,2234.437108,,1927.518221
1500,156628.762,,1500,151001.9942,,1500,159672.2548,,5626.767805,,3043.49279
1501,182355.9046,,1501,176263.268,,1501,168238.0206,,6092.636639,,14117.88398
1502,161369.3998,,1502,189387.9634,,1502,158652.4724,,28018.56363,,2716.927445
1503,298329.8193,,1503,219414.6624,,1503,272378.3025,,78915.15691,,25951.51683
1504,246756.3089,,1504,200309.4394,,1504,235931.9013,,46446.86945,,10824.40752
1505,245532.1282,,1505,199387.1448,,1505,233913.6067,,46144.98344,,11618.52152
1506,176994.1231,,1506,174808.5889,,1506,171772.3905,,2185.534247,,5221.732615
1507,244828.1944,,1507,248469.0105,,1507,242559.9283,,3640.816083,,2268.266109
1508,181516.6679,,1508,186144.9683,,1508,189186.4202,,4628.300396,,7669.752294
1509,163422.6609,,1509,163836.0673,,1509,162123.3365,,413.4063561,,1299.324383
1510,150365.4494,,1510,138834.1355,,1510,149467.6753,,11531.31383,,897.7740596
